step,wall_time,value
699,1784108855.2485032,0.9375
700,1784108855.3537638,0.875
701,1784108855.4590816,0.875
702,1784108855.5635827,0.84375
703,1784108855.6689196,0.78125
704,1784108855.7754323,0.9375
705,1784108855.8858275,0.90625
706,1784108855.9930646,0.96875
707,1784108856.1003373,0.96875
708,1784108856.207362,0.875
709,1784108856.3112879,0.90625
710,1784108856.4185243,0.90625
711,1784108856.523715,0.96875
712,1784108856.62649,0.96875
713,1784108856.736303,1.0
714,1784108856.8442163,0.96875
715,1784108856.9522586,0.90625
716,1784108857.057939,0.9375
717,1784108857.163206,0.96875
718,1784108857.2704744,0.9375
719,1784108857.376392,0.90625
720,1784108857.4814405,1.0
721,1784108857.589023,0.875
722,1784108857.6959429,0.8125
723,1784108857.8041837,0.875
724,1784108857.910756,1.0
725,1784108858.014397,0.96875
726,1784108858.1202016,0.9375
727,1784108858.225286,0.90625
728,1784108858.3296232,0.9375
729,1784108858.4382272,0.9375
730,1784108858.5532963,0.90625
731,1784108858.6666236,0.96875
732,1784108858.7742178,0.84375
733,1784108858.8799229,0.875
734,1784108858.9863465,0.8125
735,1784108859.089658,0.875
736,1784108859.1924386,0.90625
737,1784108859.2969193,1.0
738,1784108859.406104,0.9375
739,1784108859.511511,0.9375
740,1784108859.615842,0.90625
741,1784108859.7206788,0.96875
742,1784108859.8296416,0.96875
743,1784108859.9344676,0.9375
744,1784108860.037111,0.9375
745,1784108860.1406748,0.96875
746,1784108860.252312,0.875
747,1784108860.3642254,0.96875
748,1784108860.4704332,0.84375
749,1784108860.5752103,0.90625
750,1784108860.6798975,0.9375
751,1784108860.783351,0.90625
752,1784108860.8875265,0.84375
753,1784108860.996293,0.84375
754,1784108861.1065526,0.875
755,1784108861.2161164,0.90625
756,1784108861.321123,0.96875
757,1784108861.4266412,0.9375
758,1784108861.535045,1.0
759,1784108861.6405833,0.96875
760,1784108861.7439697,0.96875
761,1784108861.8496048,0.96875
762,1784108861.956299,0.9375
763,1784108862.065275,0.96875
764,1784108862.1722164,0.96875
765,1784108862.2800062,0.96875
766,1784108862.3853416,0.90625
767,1784108862.489341,0.90625
768,1784108862.5931659,0.90625
769,1784108862.7010193,0.96875
770,1784108862.806221,1.0
771,1784108862.912754,0.84375
772,1784108863.0182445,0.875
773,1784108863.123835,0.96875
774,1784108863.227184,0.90625
775,1784108863.32993,0.96875
776,1784108863.4349642,0.90625
777,1784108863.5409296,0.9375
778,1784108863.6499035,0.84375
779,1784108863.7559316,0.90625
780,1784108863.8613777,0.9375
781,1784108863.9676137,0.96875
782,1784108864.073005,0.875
783,1784108864.1795871,0.96875
784,1784108864.285758,0.90625
785,1784108864.3920972,0.875
786,1784108864.499052,0.9375
787,1784108864.6051195,0.90625
788,1784108864.7115998,0.90625
789,1784108864.8169193,0.90625
790,1784108864.9234579,0.96875
791,1784108865.02668,1.0
792,1784108865.1312928,0.96875
793,1784108865.2365317,0.90625
794,1784108865.3421628,0.9375
795,1784108865.4479787,0.96875
796,1784108865.5545492,0.90625
797,1784108865.659407,1.0
798,1784108865.764538,0.96875
799,1784108865.87194,0.9375
800,1784108865.9735794,0.90625
801,1784108866.070542,0.9375
802,1784108866.1676779,0.875
803,1784108866.2662008,0.90625
804,1784108866.3602476,0.90625
805,1784108866.4536588,0.96875
806,1784108866.5502772,0.84375
807,1784108866.6460655,0.9375
808,1784108866.7405794,0.875
809,1784108866.8342721,0.96875
810,1784108866.9325004,0.9375
811,1784108867.0263612,0.90625
812,1784108867.1199033,0.9375
813,1784108867.2136025,0.875
814,1784108867.309753,0.875
815,1784108867.4037898,0.9677419066429138
816,1784108875.754233,0.9375
817,1784108875.8809323,0.90625
818,1784108875.9895535,0.90625
819,1784108876.0964367,0.9375
820,1784108876.2015905,1.0
821,1784108876.3049734,0.96875
822,1784108876.408864,0.9375
823,1784108876.5178728,1.0
824,1784108876.6247003,0.9375
825,1784108876.73089,1.0
826,1784108876.8349571,0.96875
827,1784108876.9412782,0.9375
828,1784108877.0456815,0.96875
829,1784108877.150342,0.90625
830,1784108877.2553327,0.96875
831,1784108877.360874,0.9375
832,1784108877.4648926,0.9375
833,1784108877.570673,1.0
834,1784108877.676387,1.0
835,1784108877.7846909,1.0
836,1784108877.8899426,0.96875
837,1784108877.9931302,0.9375
838,1784108878.0973668,0.9375
839,1784108878.2023618,0.96875
840,1784108878.305557,0.84375
841,1784108878.412478,0.96875
842,1784108878.5185714,0.875
843,1784108878.624125,1.0
844,1784108878.7298348,1.0
845,1784108878.8337436,0.9375
846,1784108878.9402552,0.96875
847,1784108879.0494585,0.9375
848,1784108879.154592,0.9375
849,1784108879.257559,0.9375
850,1784108879.3622541,0.9375
851,1784108879.4663575,0.96875
852,1784108879.5716393,1.0
853,1784108879.6795585,0.84375
854,1784108879.787625,1.0
855,1784108879.8957565,0.96875
856,1784108880.0004942,0.9375
857,1784108880.1040752,0.9375
858,1784108880.2095425,0.9375
859,1784108880.3144736,0.90625
860,1784108880.4245985,0.9375
861,1784108880.5291457,0.96875
862,1784108880.637365,0.90625
863,1784108880.7440274,0.9375
864,1784108880.850131,0.9375
865,1784108880.9545448,0.90625
866,1784108881.058276,1.0
867,1784108881.1667206,0.96875
868,1784108881.2717133,1.0
869,1784108881.3769822,0.96875
870,1784108881.4833655,0.9375
871,1784108881.5898511,1.0
872,1784108881.6954324,0.90625
873,1784108881.801207,0.90625
874,1784108881.9038143,1.0
875,1784108882.0092483,1.0
876,1784108882.1141105,0.90625
